kappa,system,n,N,q_star,p_at_q_star,cost_at_q_star,eta_star,eta_q_Nplus1,eta_q_Nplus2,rel_eta_qN2_vs_qN1
1.7,H4,150,5,2,17.774964387392124,2489672.5,1.1558913761408595e-06,1.0424348091601516e-06,9.900746918539346e-07,-0.0502286731468623
1.7,H4,150,6,2,20.80776406404415,2723987.5,1.1142951975250657e-06,9.334455376284379e-07,8.862882839065464e-07,-0.05051955558296606
1.7,H5,200,2,3,10.898979485566356,4074490.0,5.862498520488672e-07,5.862498520488672e-07,5.691646765747215e-07,-0.029143163813918793
1.7,H5,200,3,4,19.165151389911678,4888010.0,6.041504821169149e-07,6.041504821169149e-07,5.827561479193541e-07,-0.03541226040670542
1.7,H5,200,4,3,19.69535971483266,5060410.0,5.889607878665676e-07,5.763058779699907e-07,5.527826005664692e-07,-0.0408173477015038
1.7,H5,200,5,3,23.747340124470732,5553370.0,5.70369078496416e-07,5.322807830055682e-07,5.088696933735559e-07,-0.04398259411098715
1.7,H5,200,6,2,20.80776406404415,5485350.0,5.533514159293956e-07,4.844607955786881e-07,4.6244777219361424e-07,-0.04543819352560674
3.23511,H1,20,2,2,8.531128874149275,14886.990700000002,0.00014399966639211544,0.00013711358811333823,0.00012307037136308246,-0.10242031401473972
3.23511,H1,20,3,2,11.65685424949238,19101.0973,0.00012857346968223816,0.00011420109659402686,0.00010381611727836959,-0.09093589838786575
3.23511,H1,20,4,2,14.72841614740048,23315.2039,0.00011536586643612912,9.387595890924414e-05,8.609478527136338e-05,-0.08288782056972988
3.23511,H1,20,5,2,17.774964387392124,27529.3105,0.00010453552667674166,7.789977586685548e-05,7.196244011118148e-05,-0.07621762308818403
3.23511,H1,20,6,2,20.80776406404415,31743.4171,9.56206504109575e-05,6.551023515783595e-05,6.089223762545616e-05,-0.07049276378345304
3.23511,H2,50,2,2,8.531128874149275,124393.80924999999,1.72333471199856e-05,1.709500436364683e-05,1.583790521382121e-05,-0.0735360531699476
3.23511,H2,50,3,2,11.65685424949238,152729.07575,1.6080070821740906e-05,1.5251761266450213e-05,1.4179119818181324e-05,-0.07032902164738253
3.23511,H2,50,4,2,14.72841614740048,181064.34225,1.48553749768393e-05,1.310695551573305e-05,1.2219602037276864e-05,-0.06770096056182107
3.23511,H2,50,5,2,17.774964387392124,209399.60875,1.3743058018798969e-05,1.1213437386261428e-05,1.0488373410331702e-05,-0.06466027775016303
3.23511,H2,50,6,2,20.80776406404415,237734.87525,1.2767694206314434e-05,9.639593437991492e-06,9.04724311886564e-06,-0.061449720150155485
