family,n,delta,tol,method,macrocycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G1,200,0.5999999999999995,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0018208,0.00018125,0.0016859000000000002,6295600.0,6307758.4,6324160.0,6386792.488
G5,40,0.10000000000000006,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002378,1.5449999999999996e-05,0.000232,86576.0,86939.56,87430.0,89302.8342
G5,40,0.10000000000000006,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00018700000000000002,1.4749999999999979e-05,0.0001799,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.10000000000000006,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002459,2.0799999999999963e-05,0.00023420000000000003,86576.0,86939.56,87430.0,89302.8342
G5,40,0.10000000000000006,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00018610000000000002,2.2499999999999734e-06,0.00018130000000000002,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.10000000000000006,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00023960000000000002,1.3450000000000002e-05,0.00023300000000000003,86576.0,86939.56,87430.0,89302.8342
G5,40,0.10000000000000006,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00018800000000000002,1.4999999999999985e-05,0.0001823,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.29999999999999993,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00023840000000000002,1.785e-05,0.00023400000000000002,86576.0,86939.56,87430.0,89302.8342
G5,40,0.29999999999999993,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00018720000000000002,1.460000000000003e-05,0.00018130000000000002,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.29999999999999993,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00024090000000000003,2.1350000000000004e-05,0.00023300000000000003,86576.0,86939.56,87430.0,89302.8342
G5,40,0.29999999999999993,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0001955,2.1349999999999977e-05,0.0001818,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.29999999999999993,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00023930000000000002,1.7349999999999988e-05,0.0002333,86576.0,86939.56,87430.0,89302.8342
G5,40,0.29999999999999993,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00018570000000000001,1.2350000000000029e-05,0.0001817,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.6000000000000001,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002435,2.655000000000005e-05,0.0002344,86576.0,86939.56,87430.0,89302.8342
G5,40,0.6000000000000001,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0001877,1.0799999999999991e-05,0.0001821,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.6000000000000001,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00024090000000000003,1.4150000000000019e-05,0.00023700000000000001,86576.0,86939.56,87430.0,89302.8342
G5,40,0.6000000000000001,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0001874,1.9949999999999997e-05,0.0001822,88696.0,89220.48000000001,89928.0,92629.7936
G5,40,0.6000000000000001,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00024150000000000002,2.069999999999996e-05,0.0002332,86576.0,86939.56,87430.0,89302.8342
G5,40,0.6000000000000001,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00018710000000000002,2.1549999999999982e-05,0.0001798,88696.0,89220.48000000001,89928.0,92629.7936
G5,55,0.09999999999999996,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00028240000000000003,1.5149999999999962e-05,0.0002664,174867.0,175489.82,176330.0,179538.3799
G5,55,0.09999999999999996,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0002246,2.739999999999999e-05,0.0002188,194007.0,194974.01,196278.5,201259.93195
G5,55,0.09999999999999996,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002829,4.285000000000004e-05,0.00026660000000000003,174867.0,175489.82,176330.0,179538.3799
G5,55,0.09999999999999996,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0002367,2.7549999999999992e-05,0.0002164,194007.0,194974.01,196278.5,201259.93195
G5,55,0.09999999999999996,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00027560000000000003,1.519999999999999e-05,0.0002657,174867.0,175489.82,176330.0,179538.3799
G5,55,0.09999999999999996,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0002223,1.3299999999999998e-05,0.00021930000000000002,194007.0,194974.01,196278.5,201259.93195
G5,55,0.30000000000000016,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002725,1.7100000000000036e-05,0.0002672,174867.0,175489.82,176330.0,179538.3799
G5,55,0.30000000000000016,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00023040000000000002,2.304999999999999e-05,0.0002201,194007.0,194974.01,196278.5,201259.93195
G5,55,0.30000000000000016,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002741,2.335e-05,0.00026680000000000003,174867.0,175489.82,176330.0,179538.3799
G5,55,0.30000000000000016,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00022370000000000002,1.2750000000000012e-05,0.00021950000000000002,194007.0,194974.01,196278.5,201259.93195
G5,55,0.30000000000000016,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0002769,1.1949999999999992e-05,0.0002682,174867.0,175489.82,176330.0,179538.3799
G5,55,0.30000000000000016,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00022300000000000003,1.6199999999999987e-05,0.00021830000000000002,194007.0,194974.01,196278.5,201259.93195
G5,55,0.6000000000000001,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00027330000000000003,5.950000000000009e-06,0.00026670000000000003,174867.0,175489.82,176330.0,179538.3799
G5,55,0.6000000000000001,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0002257,8.750000000000023e-06,0.00022150000000000002,194007.0,194974.01,196278.5,201259.93195
G5,55,0.6000000000000001,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00027390000000000004,1.3499999999999949e-05,0.00026890000000000003,174867.0,175489.82,176330.0,179538.3799
G5,55,0.6000000000000001,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00022410000000000003,1.34e-05,0.00021830000000000002,194007.0,194974.01,196278.5,201259.93195
G5,55,0.6000000000000001,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00027350000000000003,1.1550000000000037e-05,0.00026880000000000003,174867.0,175489.82,176330.0,179538.3799
G5,55,0.6000000000000001,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00022360000000000001,1.335e-05,0.00021960000000000003,194007.0,194974.01,196278.5,201259.93195
G5,100,0.10000000000000042,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003679,2.1100000000000025e-05,0.0003522,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.10000000000000042,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003267,1.2700000000000038e-05,0.00031590000000000003,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.10000000000000042,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003636,2.5199999999999962e-05,0.0003478,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.10000000000000042,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003308,5.245e-05,0.000315,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.10000000000000042,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.000362,1.375000000000009e-05,0.00035620000000000004,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.10000000000000042,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003322,1.4550000000000001e-05,0.0003192,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.3000000000000004,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003686,1.699999999999998e-05,0.00035600000000000003,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.3000000000000004,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003332,3.284999999999996e-05,0.0003199,925740.0,928839.2,933020.0,948985.1440000001
