system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H5,200,0.3000000000000004,S,9,1,1,0.0,0.0,10,1,1,9,0.0011716,8.70999999999999e-05,0.0011189,4372200.0,4378726.2,4387530.0,4421148.909
H5,200,0.3000000000000004,S,10,1,1,0.0,0.0,11,1,1,10,0.0012268,8.720000000000017e-05,0.0011604,4538400.0,4544985.800000001,4553870.0,4587795.931
H5,200,0.3000000000000004,S,11,1,1,0.0,0.0,12,1,1,11,0.0012625,5.289999999999982e-05,0.001204,4704600.0,4711245.4,4720210.0,4754442.952999999
H5,200,0.3000000000000004,S,12,1,1,0.0,0.0,13,1,1,12,0.0013384,9.504999999999997e-05,0.0012645,4870800.0,4877505.000000001,4886550.0,4921089.975
H5,200,0.3000000000000004,S,13,1,1,0.0,0.0,14,1,1,13,0.0013384,4.715000000000014e-05,0.0013096,5037000.0,5043764.600000001,5052890.0,5087736.9969999995
H5,200,0.3000000000000004,S,14,1,1,0.0,0.0,15,1,1,14,0.0014062,0.0001193999999999,0.001332,5203200.0,5210024.200000001,5219230.0,5254384.018999999
H5,200,0.3000000000000004,S,15,1,1,0.0,0.0,16,1,1,15,0.0014569,0.00010175,0.0013748,5369400.0,5376283.800000001,5385570.0,5421031.040999999
H5,200,0.3000000000000004,S,16,1,1,0.0,0.0,17,1,1,16,0.0015057,0.00012865,0.0014363,5535600.0,5542543.4,5551910.0,5587678.062999999
H5,200,0.3000000000000004,S,17,1,1,0.0,0.0,18,1,1,17,0.0015358,7.305000000000007e-05,0.0014593,5701800.0,5708803.000000001,5718250.0,5754325.084999999
H5,200,0.3000000000000004,S,18,1,1,0.0,0.0,19,1,1,18,0.0016031,0.0001072499999999,0.0015139,5868000.0,5875062.600000001,5884590.0,5920972.106999999
H5,200,0.3000000000000004,S,19,1,1,0.0,0.0,20,1,1,19,0.0016346,8.049999999999984e-05,0.0015397,6034200.0,6041322.200000001,6050930.0,6087619.128999999
H5,200,0.3000000000000004,S,20,1,1,0.0,0.0,21,1,1,20,0.001675,5.969999999999977e-05,0.0016174,6200400.0,6207581.800000001,6217270.0,6254266.150999999
H1,20,0.6,P,2,2,1,4.7965331722983984e-15,1.1765876270068222e-15,5,2,2,5,0.0001381,1.1949999999999992e-05,0.0001318,15160.0,15303.039999999999,15496.0,16232.8528
H1,20,0.6,P,3,2,1,0.0,0.0,7,2,2,7,0.0001686,6.449999999999994e-06,0.0001632,18440.0,18594.96,18804.0,19602.2572
H1,20,0.6,P,4,2,1,0.0,0.0,9,2,2,9,0.000202,9.549999999999988e-06,0.0001952,21720.0,21886.879999999997,22112.0,22971.661600000003
H1,20,0.6,P,5,2,1,0.0,0.0,11,2,2,11,0.0002326,6.600000000000025e-06,0.0002256,25000.0,25178.799999999996,25420.0,26341.066000000003
H1,20,0.6,P,6,2,1,0.0,0.0,13,2,2,13,0.000267,1.2299999999999974e-05,0.0002585,28280.0,28470.719999999998,28728.0,29710.470400000002
H1,20,0.6,P,7,2,1,0.0,0.0,15,2,2,15,0.0003004,1.125000000000003e-05,0.0002903,31560.0,31762.64,32036.0,33079.874800000005
