kappa,system,n,N,q,p_reference,cost,eta
1.0,H4,150,4,4,24.67579566188592,2695750.0,1.1892136995154596e-06
1.0,H4,150,4,5,29.317821063276355,2920750.0,1.1566192103203873e-06
1.0,H4,150,4,6,31.874507866387546,3145750.0,1.1004709731776268e-06
1.0,H4,150,5,2,17.774964387392124,2479750.0,1.1605165731081981e-06
1.0,H4,150,5,3,23.747340124470732,2749750.0,1.1519121845439191e-06
1.0,H4,150,5,4,29.730919862656236,3019750.0,1.1233339107823098e-06
1.0,H4,150,5,5,35.72004514666935,3289750.0,1.0869251523404565e-06
1.0,H4,150,5,6,41.420577856662135,3559750.0,1.0460784625383314e-06
1.0,H4,150,5,7,44.91093483101497,3829750.0,9.93454220911774e-07
1.0,H4,150,6,2,20.80776406404415,2713750.0,1.1184988261145315e-06
1.0,H4,150,6,3,27.78404875209022,3028750.0,1.0976350210887108e-06
1.0,H4,150,6,4,34.76991603917054,3343750.0,1.0613091682295808e-06
1.0,H4,150,6,5,41.760539492026695,3658750.0,1.0200073419504767e-06
1.0,H4,150,6,6,48.75386567126981,3973750.0,9.781150022324072e-07
1.0,H4,150,6,7,55.49545416973504,4288750.0,9.364735903342976e-07
1.0,H4,150,6,8,59.93325909419152,4603750.0,8.891081389461383e-07
1.0,H5,200,2,2,8.531128874149275,3818600.0,5.61389434447841e-07
1.0,H5,200,2,3,10.898979485566356,4058600.0,5.885451041429529e-07
1.0,H5,200,2,4,11.65685424949238,4298600.0,5.713242345412533e-07
1.0,H5,200,3,2,11.65685424949238,4231000.0,5.804524591347273e-07
1.0,H5,200,3,3,15.615773105863909,4551000.0,6.038851900618381e-07
1.0,H5,200,3,4,19.165151389911678,4871000.0,6.062602336465411e-07
1.0,H5,200,3,5,20.807764064044157,5191000.0,5.84728605156677e-07
1.0,H5,200,4,2,14.72841614740048,4643400.0,5.792692206268073e-07
1.0,H5,200,4,3,19.69535971483266,5043400.0,5.909471904921e-07
1.0,H5,200,4,4,24.67579566188592,5443400.0,5.889375813772275e-07
1.0,H5,200,4,5,29.317821063276355,5843400.0,5.781215659621574e-07
1.0,H5,200,4,6,31.874507866387546,6243400.0,5.544745753713552e-07
1.0,H5,200,5,2,17.774964387392124,5055800.0,5.692058570681305e-07
