family,n,delta,tol,macro_hat,macro_comp,CPU_hat_ms,CPU_comp_ms,CPU_relative_hat_vs_comp,IQR_hat_ms,IQR_comp_ms,CPU_clear_2IQR,work_hat,work_comp,work_relative_hat_vs_comp,residual_hat,residual_comp
G5,100,0.5999999999999996,1e-08,1,1,0.3688,0.3345,0.10254110612855016,0.02540000000000002,0.017199999999999986,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,200,0.09999999999999927,1e-12,1,1,1.3068000000000002,1.804,-0.2756097560975609,0.1114,0.08924999999999991,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.09999999999999927,1e-10,1,1,1.304,1.8308,-0.287743063141796,0.1401000000000002,0.16180000000000014,0,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.09999999999999927,1e-08,1,1,1.268,1.8185,-0.302722023645862,0.06294999999999998,0.09909999999999997,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.3000000000000004,1e-12,1,1,1.312,1.8229000000000002,-0.2802677053047342,0.11204999999999982,0.08710000000000011,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.3000000000000004,1e-10,1,1,1.2839,1.8522,-0.30682431702839863,0.06959999999999995,0.1273000000000001,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.3000000000000004,1e-08,1,1,1.2973999999999999,1.8022,-0.28010209743646663,0.08934999999999997,0.12155,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.5999999999999995,1e-12,1,1,1.3029000000000002,1.8222000000000003,-0.28498518274613105,0.13234999999999983,0.13260000000000008,0,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.5999999999999995,1e-10,1,1,1.2951,1.8386000000000002,-0.2956053518981835,0.08859999999999987,0.13365000000000013,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
G5,200,0.5999999999999995,1e-08,1,1,1.2996,1.8717,-0.30565795800609064,0.11360000000000016,0.12514999999999987,1,4144880.0,6331480.0,-0.34535369297541807,0.0,0.0
